entity_id,fiscal_year,leg_type,channel,direction,txn_count,value_zar
E01,FY2025,intercompany_sweeps,SWIFT,inbound,459,256596586.91
E01,FY2025,intercompany_sweeps,SWIFT,outbound,503,244320658.01
E01,FY2025,payroll,Debit Order,outbound,18,276340.48
E01,FY2025,payroll,EFT,outbound,70,1234680.33
E01,FY2025,payroll,Internal Transfer,outbound,23,425047.3
E01,FY2025,payroll,RTC,outbound,36,690851.25
E01,FY2025,payroll,SWIFT,outbound,13,237509.16
E01,FY2025,supplier_payments,Debit Order,outbound,1415,157174222.74
E01,FY2025,supplier_payments,EFT,outbound,6345,713522546.24
E01,FY2025,supplier_payments,Internal Transfer,outbound,2147,232370242.4
E01,FY2025,supplier_payments,RTC,outbound,2846,314004065.88
E01,FY2025,supplier_payments,SWIFT,outbound,1409,165281566.9
E01,FY2025,tax,Debit Order,outbound,7,1304463.3199999998
E01,FY2025,tax,EFT,outbound,25,4572728.87
E01,FY2025,tax,Internal Transfer,outbound,5,401780.70999999996
E01,FY2025,tax,RTC,outbound,11,1254311.45
E01,FY2025,tax,SWIFT,outbound,6,757016.3700000001
E01,FY2026,collections,Debit Order,inbound,1793,925014880.4699789
E01,FY2026,collections,EFT,inbound,8343,4183591934.902403
E01,FY2026,collections,Internal Transfer,inbound,2716,1469755609.4783752
E01,FY2026,collections,RTC,inbound,3650,1848880485.818062
E01,FY2026,collections,SWIFT,inbound,1823,1019076909.9539855
E01,FY2026,intercompany_sweeps,Debit Order,inbound,554,292235013.99
E01,FY2026,intercompany_sweeps,Debit Order,outbound,518,260871393.14
E01,FY2026,intercompany_sweeps,EFT,inbound,2407,1290753308.48
E01,FY2026,intercompany_sweeps,EFT,outbound,2458,1173746926.71
E01,FY2026,intercompany_sweeps,Internal Transfer,inbound,770,371523914.29
E01,FY2026,intercompany_sweeps,Internal Transfer,outbound,793,381511502.95
E01,FY2026,intercompany_sweeps,RTC,inbound,1111,571580798.75
E01,FY2026,intercompany_sweeps,RTC,outbound,1047,608439880.77
E01,FY2026,intercompany_sweeps,SWIFT,inbound,564,282042478.8
E01,FY2026,intercompany_sweeps,SWIFT,outbound,492,298251342.91
E01,FY2026,payroll,Debit Order,outbound,15,262860.35
E01,FY2026,payroll,EFT,outbound,65,1138363.47
E01,FY2026,payroll,Internal Transfer,outbound,23,441580.26
E01,FY2026,payroll,RTC,outbound,32,622584.05
E01,FY2026,payroll,SWIFT,outbound,18,273553.9
E01,FY2026,supplier_payments,Debit Order,outbound,1540,178435571.3
E01,FY2026,supplier_payments,EFT,outbound,7209,822193091.91
E01,FY2026,supplier_payments,Internal Transfer,outbound,2322,270045349.28
E01,FY2026,supplier_payments,RTC,outbound,3198,353574902.6
E01,FY2026,supplier_payments,SWIFT,outbound,1507,180190443.95
E01,FY2026,tax,Debit Order,outbound,5,428416.77
E01,FY2026,tax,EFT,outbound,12,1611062.47
E01,FY2026,tax,Internal Transfer,outbound,10,1151984.99
E01,FY2026,tax,RTC,outbound,9,1075885.45
E01,FY2026,tax,SWIFT,outbound,10,1330605.88
E02,FY2024,collections,Debit Order,inbound,255,240601987.79417074
E02,FY2024,collections,EFT,inbound,1166,986660114.0432599
E02,FY2024,collections,Internal Transfer,inbound,415,300447421.78994346
E02,FY2024,collections,RTC,inbound,540,541617448.9652802
E02,FY2024,collections,SWIFT,inbound,255,239799171.3570556
E02,FY2024,intercompany_sweeps,Debit Order,inbound,86,67577692.71
E02,FY2024,intercompany_sweeps,Debit Order,outbound,78,76290046.39
E02,FY2024,intercompany_sweeps,EFT,inbound,386,369357546.26
E02,FY2024,intercompany_sweeps,EFT,outbound,383,308120604.17
E02,FY2024,intercompany_sweeps,Internal Transfer,inbound,112,59500149.67
E02,FY2024,intercompany_sweeps,Internal Transfer,outbound,131,89969620.55
E02,FY2024,intercompany_sweeps,RTC,inbound,152,111118120.41
E02,FY2024,intercompany_sweeps,RTC,outbound,191,223397356.60999998
E02,FY2024,intercompany_sweeps,SWIFT,inbound,72,54867490.02
E02,FY2024,intercompany_sweeps,SWIFT,outbound,74,60015951.93
E02,FY2024,payroll,Debit Order,outbound,7,171253.06
E02,FY2024,payroll,EFT,outbound,31,934734.31
E02,FY2024,payroll,Internal Transfer,outbound,7,201764.83
E02,FY2024,payroll,RTC,outbound,17,463981.71
E02,FY2024,payroll,SWIFT,outbound,8,238561.29
E02,FY2024,supplier_payments,Debit Order,outbound,241,48059112.07
E02,FY2024,supplier_payments,EFT,outbound,961,174964950.19
E02,FY2024,supplier_payments,Internal Transfer,outbound,348,69037440.09
E02,FY2024,supplier_payments,RTC,outbound,455,75984336.17999999
E02,FY2024,supplier_payments,SWIFT,outbound,203,35718845.68
E02,FY2024,tax,EFT,outbound,7,1491754.67
E02,FY2024,tax,Internal Transfer,outbound,8,832793.37
E02,FY2024,tax,RTC,outbound,5,988306.0099999999
E02,FY2024,tax,SWIFT,outbound,1,161490.95
E02,FY2025,collections,Debit Order,inbound,247,215559213.17598152
E02,FY2025,collections,EFT,inbound,1165,980471795.825796
E02,FY2025,collections,Internal Transfer,inbound,399,317906942.05332226
E02,FY2025,collections,RTC,inbound,526,481289436.0213135
E02,FY2025,collections,SWIFT,inbound,248,205045687.31271693
E02,FY2025,intercompany_sweeps,Debit Order,inbound,104,89429279.82000001
E02,FY2025,intercompany_sweeps,Debit Order,outbound,93,81094612.97
E02,FY2025,intercompany_sweeps,EFT,inbound,394,291678489.1
E02,FY2025,intercompany_sweeps,EFT,outbound,417,315980054.16
E02,FY2025,intercompany_sweeps,Internal Transfer,inbound,124,125649451.43
E02,FY2025,intercompany_sweeps,Internal Transfer,outbound,140,90885280.81
E02,FY2025,intercompany_sweeps,RTC,inbound,147,108209021.39
E02,FY2025,intercompany_sweeps,RTC,outbound,190,124667337.99
E02,FY2025,intercompany_sweeps,SWIFT,inbound,89,55452659.78
E02,FY2025,intercompany_sweeps,SWIFT,outbound,67,48397620.33
E02,FY2025,payroll,Debit Order,outbound,8,238414.49
E02,FY2025,payroll,EFT,outbound,32,849466.6
E02,FY2025,payroll,Internal Transfer,outbound,9,228456.66
E02,FY2025,payroll,RTC,outbound,13,362818.98
E02,FY2025,payroll,SWIFT,outbound,7,234818.19
E02,FY2025,supplier_payments,Debit Order,outbound,228,39502556.77
E02,FY2025,supplier_payments,EFT,outbound,1030,186713469.86
E02,FY2025,supplier_payments,Internal Transfer,outbound,337,61610027.16
E02,FY2025,supplier_payments,RTC,outbound,426,78947502.75
E02,FY2025,supplier_payments,SWIFT,outbound,223,36398098.14
E02,FY2025,tax,Debit Order,outbound,2,233409.76
E02,FY2025,tax,EFT,outbound,9,2493143.4
E02,FY2025,tax,Internal Transfer,outbound,3,1032124.22
E02,FY2025,tax,RTC,outbound,3,517335.24
E02,FY2025,tax,SWIFT,outbound,1,81866.16
E02,FY2026,collections,Debit Order,inbound,306,260986258.38176683
E02,FY2026,collections,EFT,inbound,1339,1098423149.5300822
E02,FY2026,collections,Internal Transfer,inbound,449,403367320.27783275
E02,FY2026,collections,RTC,inbound,630,472890452.27147543
E02,FY2026,collections,SWIFT,inbound,329,284491930.77304035
E02,FY2026,intercompany_sweeps,Debit Order,inbound,113,82215128.17
E02,FY2026,intercompany_sweeps,Debit Order,outbound,94,78705411.3
E02,FY2026,intercompany_sweeps,EFT,inbound,407,354138771.51
E02,FY2026,intercompany_sweeps,EFT,outbound,425,340534509.63
E02,FY2026,intercompany_sweeps,Internal Transfer,inbound,145,103722862.54
E02,FY2026,intercompany_sweeps,Internal Transfer,outbound,142,98928292.83
E02,FY2026,intercompany_sweeps,RTC,inbound,208,156289380.41
E02,FY2026,intercompany_sweeps,RTC,outbound,184,112067671.92
E02,FY2026,intercompany_sweeps,SWIFT,inbound,88,73847662.73
E02,FY2026,intercompany_sweeps,SWIFT,outbound,115,79151491.06
E02,FY2026,payroll,Debit Order,outbound,9,296927.74
E02,FY2026,payroll,EFT,outbound,29,966973.19
E02,FY2026,payroll,Internal Transfer,outbound,7,190914.92
E02,FY2026,payroll,RTC,outbound,13,307990.33
E02,FY2026,payroll,SWIFT,outbound,5,126309.16
E02,FY2026,supplier_payments,Debit Order,outbound,255,44163522.91
E02,FY2026,supplier_payments,EFT,outbound,1153,209509112.24
E02,FY2026,supplier_payments,Internal Transfer,outbound,420,70798933.13
E02,FY2026,supplier_payments,RTC,outbound,453,68817056.9
E02,FY2026,supplier_payments,SWIFT,outbound,232,39951640.62
E02,FY2026,tax,Debit Order,outbound,3,647931.83
E02,FY2026,tax,EFT,outbound,9,2195700.5300000003
E02,FY2026,tax,Internal Transfer,outbound,3,1176972.87
E02,FY2026,tax,RTC,outbound,3,866345.9299999999
E02,FY2026,tax,SWIFT,outbound,3,491272.65
E03,FY2024,collections,Debit Order,inbound,1540,616632803.2694856
E03,FY2024,collections,EFT,inbound,6698,2594595845.2704077
E03,FY2024,collections,Internal Transfer,inbound,2189,856497985.2830957
E03,FY2024,collections,RTC,inbound,2971,1118129856.3996017
E03,FY2024,collections,SWIFT,inbound,1476,613346313.168958
E03,FY2024,intercompany_sweeps,Debit Order,inbound,420,135062532.25
E03,FY2024,intercompany_sweeps,Debit Order,outbound,415,190280318.82
E03,FY2024,intercompany_sweeps,EFT,inbound,1958,739906989.5
E03,FY2024,intercompany_sweeps,EFT,outbound,1886,679244575.4
E03,FY2024,intercompany_sweeps,Internal Transfer,inbound,612,209706994.3
E03,FY2024,intercompany_sweeps,Internal Transfer,outbound,659,267285894.08
E03,FY2024,intercompany_sweeps,RTC,inbound,830,339713398.74
E03,FY2024,intercompany_sweeps,RTC,outbound,851,356132040.32
E03,FY2024,intercompany_sweeps,SWIFT,inbound,448,159103547.91
E03,FY2024,intercompany_sweeps,SWIFT,outbound,429,215153233.84
E03,FY2024,payroll,Debit Order,outbound,15,185726.41999999998
E03,FY2024,payroll,EFT,outbound,56,755325.96
E03,FY2024,payroll,Internal Transfer,outbound,25,355211.59
E03,FY2024,payroll,RTC,outbound,19,241967.38
E03,FY2024,payroll,SWIFT,outbound,11,149645.47
E03,FY2024,supplier_payments,Debit Order,outbound,1299,107856181.08
E03,FY2024,supplier_payments,EFT,outbound,5715,483952605.5
E03,FY2024,supplier_payments,Internal Transfer,outbound,1855,156589045.15
E03,FY2024,supplier_payments,RTC,outbound,2559,215553024.96
E03,FY2024,supplier_payments,SWIFT,outbound,1287,117850306.12
E03,FY2024,tax,Debit Order,outbound,4,427783.07999999996
E03,FY2024,tax,EFT,outbound,26,3828095.21
E03,FY2024,tax,Internal Transfer,outbound,6,561793.78
E03,FY2024,tax,RTC,outbound,4,318778.54000000004
E03,FY2025,collections,Debit Order,inbound,1264,465721677.8802754
E03,FY2025,collections,EFT,inbound,5698,2214563241.8047423
E03,FY2025,collections,Internal Transfer,inbound,1878,724444973.6312777
E03,FY2025,collections,RTC,inbound,2438,995570748.2253078
E03,FY2025,collections,SWIFT,inbound,1229,450504582.0872076
E03,FY2025,intercompany_sweeps,Debit Order,inbound,345,130843839.4
E03,FY2025,intercompany_sweeps,Debit Order,outbound,400,141392047.42
E03,FY2025,intercompany_sweeps,EFT,inbound,1566,572519775.95
E03,FY2025,intercompany_sweeps,EFT,outbound,1627,564849017.1
E03,FY2025,intercompany_sweeps,Internal Transfer,inbound,577,241408316.83
E03,FY2025,intercompany_sweeps,Internal Transfer,outbound,560,209308610.68
E03,FY2025,intercompany_sweeps,RTC,inbound,691,258055556.35
E03,FY2025,intercompany_sweeps,RTC,outbound,712,280912678.16
E03,FY2025,intercompany_sweeps,SWIFT,inbound,338,96920668.05
E03,FY2025,intercompany_sweeps,SWIFT,outbound,343,117646550.51
E03,FY2025,payroll,Debit Order,outbound,12,160220.22999999998
E03,FY2025,payroll,EFT,outbound,40,584441.0
E03,FY2025,payroll,Internal Transfer,outbound,15,194197.99
E03,FY2025,payroll,RTC,outbound,19,290718.58
E03,FY2025,payroll,SWIFT,outbound,19,239497.85
E03,FY2025,supplier_payments,Debit Order,outbound,1024,90942254.48
E03,FY2025,supplier_payments,EFT,outbound,4831,418127584.23
E03,FY2025,supplier_payments,Internal Transfer,outbound,1768,153868969.75
E03,FY2025,supplier_payments,RTC,outbound,2238,196763031.98
E03,FY2025,supplier_payments,SWIFT,outbound,1079,84971730.84
E03,FY2025,tax,Debit Order,outbound,3,593410.05
E03,FY2025,tax,EFT,outbound,12,1157665.6300000001
E03,FY2025,tax,Internal Transfer,outbound,9,2320508.41
E03,FY2025,tax,RTC,outbound,4,532689.5
E03,FY2025,tax,SWIFT,outbound,8,572003.17
E03,FY2026,collections,Debit Order,inbound,1140,465483958.3245229
E03,FY2026,collections,EFT,inbound,5025,1978828653.5488026
E03,FY2026,collections,Internal Transfer,inbound,1628,642413334.7808586
E03,FY2026,collections,RTC,inbound,2232,871334917.1222389
E03,FY2026,collections,SWIFT,inbound,1108,432783589.1063644
E03,FY2026,intercompany_sweeps,Debit Order,inbound,319,127601818.88
E03,FY2026,intercompany_sweeps,Debit Order,outbound,332,129409422.25
E03,FY2026,intercompany_sweeps,EFT,inbound,1518,556464669.92
E03,FY2026,intercompany_sweeps,EFT,outbound,1361,499328020.92
E03,FY2026,intercompany_sweeps,Internal Transfer,inbound,492,185466963.39000002
E03,FY2026,intercompany_sweeps,Internal Transfer,outbound,438,158830698.9
E03,FY2026,intercompany_sweeps,RTC,inbound,624,234871144.45
E03,FY2026,intercompany_sweeps,RTC,outbound,632,222316636.81
E03,FY2026,intercompany_sweeps,SWIFT,inbound,347,120931236.55
E03,FY2026,intercompany_sweeps,SWIFT,outbound,306,130436762.16
E03,FY2026,payroll,Debit Order,outbound,11,175709.48
E03,FY2026,payroll,EFT,outbound,73,1061439.73
E03,FY2026,payroll,Internal Transfer,outbound,16,223903.29
E03,FY2026,payroll,RTC,outbound,29,415440.36
E03,FY2026,payroll,SWIFT,outbound,7,117777.58
E03,FY2026,supplier_payments,Debit Order,outbound,935,81281300.07
E03,FY2026,supplier_payments,EFT,outbound,4240,356495241.62
E03,FY2026,supplier_payments,Internal Transfer,outbound,1470,118416472.63
E03,FY2026,supplier_payments,RTC,outbound,1933,160991005.82
E03,FY2026,supplier_payments,SWIFT,outbound,909,77760427.17
E03,FY2026,tax,Debit Order,outbound,3,356491.33999999997
E03,FY2026,tax,EFT,outbound,15,1386771.1400000001
E03,FY2026,tax,Internal Transfer,outbound,6,904744.15
E03,FY2026,tax,RTC,outbound,9,1761934.6
E03,FY2026,tax,SWIFT,outbound,1,130177.03
E04,FY2024,collections,Debit Order,inbound,277,89943002.06830184
E04,FY2024,collections,EFT,inbound,1352,429382622.16228247
E04,FY2024,collections,Internal Transfer,inbound,423,134927074.45683238
E04,FY2024,collections,RTC,inbound,622,216912448.60422185
E04,FY2024,collections,SWIFT,inbound,277,96051588.86842704
E04,FY2024,intercompany_sweeps,Debit Order,inbound,119,38128484.19
E04,FY2024,intercompany_sweeps,Debit Order,outbound,88,24196220.9
E04,FY2024,intercompany_sweeps,EFT,inbound,442,127212904.78
E04,FY2024,intercompany_sweeps,EFT,outbound,447,156198638.07
E04,FY2024,intercompany_sweeps,Internal Transfer,inbound,137,44893272.49
E04,FY2024,intercompany_sweeps,Internal Transfer,outbound,144,44778559.0
E04,FY2024,intercompany_sweeps,RTC,inbound,195,51001958.29
E04,FY2024,intercompany_sweeps,RTC,outbound,193,71353200.9
E04,FY2024,intercompany_sweeps,SWIFT,inbound,83,19006642.37
E04,FY2024,intercompany_sweeps,SWIFT,outbound,87,31062694.87
E04,FY2024,payroll,Debit Order,outbound,7,80262.97
E04,FY2024,payroll,EFT,outbound,38,388724.38
E04,FY2024,payroll,Internal Transfer,outbound,11,119295.89
E04,FY2024,payroll,RTC,outbound,21,206196.55
E04,FY2024,payroll,SWIFT,outbound,4,43733.36
E04,FY2024,supplier_payments,Debit Order,outbound,280,20179140.32
E04,FY2024,supplier_payments,EFT,outbound,1140,78354612.07
E04,FY2024,supplier_payments,Internal Transfer,outbound,392,30064605.02
E04,FY2024,supplier_payments,RTC,outbound,525,35514936.42
E04,FY2024,supplier_payments,SWIFT,outbound,265,17237368.18
E04,FY2024,tax,Debit Order,outbound,6,1455629.29
E04,FY2024,tax,EFT,outbound,9,581582.95
E04,FY2024,tax,Internal Transfer,outbound,4,242728.41999999998
E04,FY2024,tax,RTC,outbound,4,410955.94
E04,FY2024,tax,SWIFT,outbound,4,463044.99
E04,FY2025,collections,Debit Order,inbound,307,102841436.84616372
E04,FY2025,collections,EFT,inbound,1342,427236014.7637038
E04,FY2025,collections,Internal Transfer,inbound,452,153674595.94902357
E04,FY2025,collections,RTC,inbound,600,190271034.6303908
E04,FY2025,collections,SWIFT,inbound,287,91153344.27328125
E04,FY2025,intercompany_sweeps,Debit Order,inbound,102,38497123.51
E04,FY2025,intercompany_sweeps,Debit Order,outbound,104,29054642.63
E04,FY2025,intercompany_sweeps,EFT,inbound,445,141266488.94
E04,FY2025,intercompany_sweeps,EFT,outbound,404,128953325.17
E04,FY2025,intercompany_sweeps,Internal Transfer,inbound,135,46774124.26
E04,FY2025,intercompany_sweeps,Internal Transfer,outbound,104,30989557.169999998
E04,FY2025,intercompany_sweeps,RTC,inbound,205,71780450.23
E04,FY2025,intercompany_sweeps,RTC,outbound,230,68799757.94
E04,FY2025,intercompany_sweeps,SWIFT,inbound,83,19418798.13
E04,FY2025,intercompany_sweeps,SWIFT,outbound,105,47558138.25
E04,FY2025,payroll,Debit Order,outbound,10,97359.12
E04,FY2025,payroll,EFT,outbound,22,249057.76
E04,FY2025,payroll,Internal Transfer,outbound,14,143585.76
E04,FY2025,payroll,RTC,outbound,9,85145.35
E04,FY2025,payroll,SWIFT,outbound,8,102263.93
E04,FY2025,supplier_payments,Debit Order,outbound,291,18629328.2
E04,FY2025,supplier_payments,EFT,outbound,1147,80761635.86
E04,FY2025,supplier_payments,Internal Transfer,outbound,374,25260474.95
E04,FY2025,supplier_payments,RTC,outbound,528,34314362.29
E04,FY2025,supplier_payments,SWIFT,outbound,260,19093187.81
E04,FY2025,tax,Debit Order,outbound,3,243140.84
E04,FY2025,tax,EFT,outbound,9,590414.6
E04,FY2025,tax,Internal Transfer,outbound,3,275753.41
E04,FY2025,tax,RTC,outbound,6,722048.86
E04,FY2025,tax,SWIFT,outbound,1,96682.87
E04,FY2026,collections,Debit Order,inbound,340,102042454.60557562
E04,FY2026,collections,EFT,inbound,1505,453058684.46454984
E04,FY2026,collections,Internal Transfer,inbound,486,161883322.6571375
E04,FY2026,collections,RTC,inbound,637,221973521.32016462
E04,FY2026,collections,SWIFT,inbound,369,111054219.64666785
E04,FY2026,intercompany_sweeps,Debit Order,inbound,102,29274153.79
E04,FY2026,intercompany_sweeps,Debit Order,outbound,121,42321906.12
E04,FY2026,intercompany_sweeps,EFT,inbound,481,166620660.17
E04,FY2026,intercompany_sweeps,EFT,outbound,504,147946394.77
E04,FY2026,intercompany_sweeps,Internal Transfer,inbound,167,62195914.65
E04,FY2026,intercompany_sweeps,Internal Transfer,outbound,168,65159002.97
E04,FY2026,intercompany_sweeps,RTC,inbound,230,58345440.32
E04,FY2026,intercompany_sweeps,RTC,outbound,246,76026993.5
E04,FY2026,intercompany_sweeps,SWIFT,inbound,123,46575642.27
E04,FY2026,intercompany_sweeps,SWIFT,outbound,118,31419899.65
E04,FY2026,payroll,Debit Order,outbound,9,103838.28
E04,FY2026,payroll,EFT,outbound,43,519301.78
E04,FY2026,payroll,Internal Transfer,outbound,11,117051.32
E04,FY2026,payroll,RTC,outbound,18,216851.00999999998
E04,FY2026,payroll,SWIFT,outbound,4,38875.35
E04,FY2026,supplier_payments,Debit Order,outbound,283,17398951.95
E04,FY2026,supplier_payments,EFT,outbound,1349,96311657.6
E04,FY2026,supplier_payments,Internal Transfer,outbound,432,28741407.47
E04,FY2026,supplier_payments,RTC,outbound,542,39131138.13
E04,FY2026,supplier_payments,SWIFT,outbound,314,22162518.77
E04,FY2026,tax,Debit Order,outbound,4,403721.78
E04,FY2026,tax,EFT,outbound,8,433293.37
E04,FY2026,tax,Internal Transfer,outbound,1,68231.87
E04,FY2026,tax,RTC,outbound,3,173849.25
E04,FY2026,tax,SWIFT,outbound,4,322304.0
E05,FY2024,collections,Debit Order,inbound,287,96480919.88019288
E05,FY2024,collections,EFT,inbound,1182,344593606.53595006
E05,FY2024,collections,Internal Transfer,inbound,426,170756059.14668822
E05,FY2024,collections,RTC,inbound,557,166702385.99348295
E05,FY2024,collections,SWIFT,inbound,258,76624582.91469277
E05,FY2024,intercompany_sweeps,Debit Order,inbound,86,21216497.13
E05,FY2024,intercompany_sweeps,Debit Order,outbound,98,26770846.63
E05,FY2024,intercompany_sweeps,EFT,inbound,367,95330074.7
E05,FY2024,intercompany_sweeps,EFT,outbound,445,139668556.43
E05,FY2024,intercompany_sweeps,Internal Transfer,inbound,145,38840986.76
E05,FY2024,intercompany_sweeps,Internal Transfer,outbound,143,40029340.0
E05,FY2024,intercompany_sweeps,RTC,inbound,162,48857150.01
E05,FY2024,intercompany_sweeps,RTC,outbound,157,43782867.24
E05,FY2024,intercompany_sweeps,SWIFT,inbound,69,19007510.080000002
E05,FY2024,intercompany_sweeps,SWIFT,outbound,100,38084964.65
E05,FY2024,payroll,Debit Order,outbound,3,37380.02
E05,FY2024,payroll,EFT,outbound,31,360630.91
E05,FY2024,payroll,Internal Transfer,outbound,3,34977.06
E05,FY2024,payroll,RTC,outbound,15,142837.38
E05,FY2024,payroll,SWIFT,outbound,9,130491.73999999999
E05,FY2024,supplier_payments,Debit Order,outbound,269,15889921.14
E05,FY2024,supplier_payments,EFT,outbound,1044,67630832.0
E05,FY2024,supplier_payments,Internal Transfer,outbound,358,23286671.05
E05,FY2024,supplier_payments,RTC,outbound,481,31444648.66
E05,FY2024,supplier_payments,SWIFT,outbound,236,14792583.48
E05,FY2024,tax,Debit Order,outbound,3,187058.02000000002
E05,FY2024,tax,EFT,outbound,15,1812037.05
E05,FY2024,tax,Internal Transfer,outbound,3,320348.08999999997
E05,FY2024,tax,RTC,outbound,2,109204.44
E05,FY2024,tax,SWIFT,outbound,2,47493.66
E05,FY2025,collections,Debit Order,inbound,271,86106410.92617749
E05,FY2025,collections,EFT,inbound,1234,357294706.5785521
E05,FY2025,collections,Internal Transfer,inbound,436,150188491.25160447
E05,FY2025,collections,RTC,inbound,509,152850137.63721952
E05,FY2025,collections,SWIFT,inbound,299,84777409.72420357
E05,FY2025,intercompany_sweeps,Debit Order,inbound,80,18954484.15
E05,FY2025,intercompany_sweeps,Debit Order,outbound,88,29187155.72
E05,FY2025,intercompany_sweeps,EFT,inbound,407,125320380.8
E05,FY2025,intercompany_sweeps,EFT,outbound,413,118861286.02
E05,FY2025,intercompany_sweeps,Internal Transfer,inbound,129,43893985.410000004
E05,FY2025,intercompany_sweeps,Internal Transfer,outbound,140,33942466.27
E05,FY2025,intercompany_sweeps,RTC,inbound,171,55964899.09
E05,FY2025,intercompany_sweeps,RTC,outbound,176,45655689.21
E05,FY2025,intercompany_sweeps,SWIFT,inbound,85,30820712.12
E05,FY2025,intercompany_sweeps,SWIFT,outbound,77,16304472.47
E05,FY2025,payroll,Debit Order,outbound,8,80308.89
E05,FY2025,payroll,EFT,outbound,25,248271.11000000002
E05,FY2025,payroll,Internal Transfer,outbound,11,123156.13
E05,FY2025,payroll,RTC,outbound,12,102685.23
E05,FY2025,payroll,SWIFT,outbound,7,85569.79
E05,FY2025,supplier_payments,Debit Order,outbound,253,17417895.35
E05,FY2025,supplier_payments,EFT,outbound,1018,64513772.73
E05,FY2025,supplier_payments,Internal Transfer,outbound,372,26432746.82
E05,FY2025,supplier_payments,RTC,outbound,515,33686427.89
E05,FY2025,supplier_payments,SWIFT,outbound,228,12981764.45
E05,FY2025,tax,Debit Order,outbound,1,180665.84
E05,FY2025,tax,EFT,outbound,9,1269529.52
E05,FY2025,tax,Internal Transfer,outbound,3,302767.64999999997
E05,FY2025,tax,RTC,outbound,2,166354.32
E05,FY2026,collections,Debit Order,inbound,310,82864018.56910606
E05,FY2026,collections,EFT,inbound,1375,431708123.7688103
E05,FY2026,collections,Internal Transfer,inbound,466,155648175.48988825
E05,FY2026,collections,RTC,inbound,623,163883024.12180555
E05,FY2026,collections,SWIFT,inbound,303,97164417.11576824
E05,FY2026,intercompany_sweeps,Debit Order,inbound,103,26925321.83
E05,FY2026,intercompany_sweeps,Debit Order,outbound,106,24124933.84
E05,FY2026,intercompany_sweeps,EFT,inbound,443,166456308.32
E05,FY2026,intercompany_sweeps,EFT,outbound,463,124591514.74
E05,FY2026,intercompany_sweeps,Internal Transfer,inbound,154,38686032.97
E05,FY2026,intercompany_sweeps,Internal Transfer,outbound,146,39913201.12
E05,FY2026,intercompany_sweeps,RTC,inbound,201,45433565.88
E05,FY2026,intercompany_sweeps,RTC,outbound,194,80595926.96000001
